
p is initialized as 0.5

It.      Pn-1           Pn        f(Pn)     Absolute Error
 -----------------------------------------------------------
 68  -9.99999046  -0.00999004   -9.99001026   9.99000072
 69  -0.00999004  -9.99999046 9999.96191406   9.99000072
 70  -9.99999046  -0.00999004   -9.99001026   9.99000072
 71  -0.00999004  -9.99999046 9999.96191406   9.99000072
 72  -9.99999046  -0.00999004   -9.99001026   9.99000072
 73  -0.00999004  -9.99999046 9999.96191406   9.99000072
 74  -9.99999046  -0.00999004   -9.99001026   9.99000072
 75  -0.00999004  -9.99999046 9999.96191406   9.99000072
 76  -9.99999046  -0.00999004   -9.99001026   9.99000072
 77  -0.00999004  -9.99999046 9999.96191406   9.99000072
 78  -9.99999046  -0.00999004   -9.99001026   9.99000072
 79  -0.00999004  -9.99999046 9999.96191406   9.99000072
 80  -9.99999046  -0.00999004   -9.99001026   9.99000072
 81  -0.00999004  -9.99999046 9999.96191406   9.99000072
 82  -9.99999046  -0.00999004   -9.99001026   9.99000072
 83  -0.00999004  -9.99999046 9999.96191406   9.99000072
 84  -9.99999046  -0.00999004   -9.99001026   9.99000072
 85  -0.00999004  -9.99999046 9999.96191406   9.99000072
 86  -9.99999046  -0.00999004   -9.99001026   9.99000072
 87  -0.00999004  -9.99999046 9999.96191406   9.99000072
 88  -9.99999046  -0.00999004   -9.99001026   9.99000072
 89  -0.00999004  -9.99999046 9999.96191406   9.99000072
 90  -9.99999046  -0.00999004   -9.99001026   9.99000072
 91  -0.00999004  -9.99999046 9999.96191406   9.99000072
 92  -9.99999046  -0.00999004   -9.99001026   9.99000072
 93  -0.00999004  -9.99999046 9999.96191406   9.99000072
 94  -9.99999046  -0.00999004   -9.99001026   9.99000072
 95  -0.00999004  -9.99999046 9999.96191406   9.99000072
 96  -9.99999046  -0.00999004   -9.99001026   9.99000072
 97  -0.00999004  -9.99999046 9999.96191406   9.99000072
 98  -9.99999046  -0.00999004   -9.99001026   9.99000072
 99  -0.00999004  -9.99999046 9999.96191406   9.99000072
100  -9.99999046  -0.00999004   -9.99001026   9.99000072
101  -0.00999004  -9.99999046 9999.96191406   9.99000072
102  -9.99999046  -0.00999004   -9.99001026   9.99000072
103  -0.00999004  -9.99999046 9999.96191406   9.99000072
104  -9.99999046  -0.00999004   -9.99001026   9.99000072
105  -0.00999004  -9.99999046 9999.96191406   9.99000072
106  -9.99999046  -0.00999004   -9.99001026   9.99000072
107  -0.00999004  -9.99999046 9999.96191406   9.99000072
108  -9.99999046  -0.00999004   -9.99001026   9.99000072
109  -0.00999004  -9.99999046 9999.96191406   9.99000072
110  -9.99999046  -0.00999004   -9.99001026   9.99000072
111  -0.00999004  -9.99999046 9999.96191406   9.99000072
112  -9.99999046  -0.00999004   -9.99001026   9.99000072
113  -0.00999004  -9.99999046 9999.96191406   9.99000072
114  -9.99999046  -0.00999004   -9.99001026   9.99000072
115  -0.00999004  -9.99999046 9999.96191406   9.99000072
116  -9.99999046  -0.00999004   -9.99001026   9.99000072
117  -0.00999004  -9.99999046 9999.96191406   9.99000072
118  -9.99999046  -0.00999004   -9.99001026   9.99000072
119  -0.00999004  -9.99999046 9999.96191406   9.99000072
120  -9.99999046  -0.00999004   -9.99001026   9.99000072
121  -0.00999004  -9.99999046 9999.96191406   9.99000072
122  -9.99999046  -0.00999004   -9.99001026   9.99000072
123  -0.00999004  -9.99999046 9999.96191406   9.99000072
124  -9.99999046  -0.00999004   -9.99001026   9.99000072
125  -0.00999004  -9.99999046 9999.96191406   9.99000072
126  -9.99999046  -0.00999004   -9.99001026   9.99000072
127  -0.00999004  -9.99999046 9999.96191406   9.99000072
128  -9.99999046  -0.00999004   -9.99001026   9.99000072
129  -0.00999004  -9.99999046 9999.96191406   9.99000072
130  -9.99999046  -0.00999004   -9.99001026   9.99000072
131  -0.00999004  -9.99999046 9999.96191406   9.99000072
132  -9.99999046  -0.00999004   -9.99001026   9.99000072
133  -0.00999004  -9.99999046 9999.96191406   9.99000072
134  -9.99999046  -0.00999004   -9.99001026   9.99000072
135  -0.00999004  -9.99999046 9999.96191406   9.99000072
136  -9.99999046  -0.00999004   -9.99001026   9.99000072
137  -0.00999004  -9.99999046 9999.96191406   9.99000072
138  -9.99999046  -0.00999004   -9.99001026   9.99000072
139  -0.00999004  -9.99999046 9999.96191406   9.99000072
140  -9.99999046  -0.00999004   -9.99001026   9.99000072
141  -0.00999004  -9.99999046 9999.96191406   9.99000072
142  -9.99999046  -0.00999004   -9.99001026   9.99000072
143  -0.00999004  -9.99999046 9999.96191406   9.99000072
144  -9.99999046  -0.00999004   -9.99001026   9.99000072
145  -0.00999004  -9.99999046 9999.96191406   9.99000072
146  -9.99999046  -0.00999004   -9.99001026   9.99000072
147  -0.00999004  -9.99999046 9999.96191406   9.99000072
148  -9.99999046  -0.00999004   -9.99001026   9.99000072
149  -0.00999004  -9.99999046 9999.96191406   9.99000072
150  -9.99999046  -0.00999004   -9.99001026   9.99000072
151  -0.00999004  -9.99999046 9999.96191406   9.99000072
152  -9.99999046  -0.00999004   -9.99001026   9.99000072
153  -0.00999004  -9.99999046 9999.96191406   9.99000072
154  -9.99999046  -0.00999004   -9.99001026   9.99000072
155  -0.00999004  -9.99999046 9999.96191406   9.99000072
156  -9.99999046  -0.00999004   -9.99001026   9.99000072
157  -0.00999004  -9.99999046 9999.96191406   9.99000072
158  -9.99999046  -0.00999004   -9.99001026   9.99000072
159  -0.00999004  -9.99999046 9999.96191406   9.99000072
160  -9.99999046  -0.00999004   -9.99001026   9.99000072
161  -0.00999004  -9.99999046 9999.96191406   9.99000072
162  -9.99999046  -0.00999004   -9.99001026   9.99000072
163  -0.00999004  -9.99999046 9999.96191406   9.99000072
164  -9.99999046  -0.00999004   -9.99001026   9.99000072
165  -0.00999004  -9.99999046 9999.96191406   9.99000072
166  -9.99999046  -0.00999004   -9.99001026   9.99000072
167  -0.00999004  -9.99999046 9999.96191406   9.99000072
168  -9.99999046  -0.00999004   -9.99001026   9.99000072
169  -0.00999004  -9.99999046 9999.96191406   9.99000072
170  -9.99999046  -0.00999004   -9.99001026   9.99000072
171  -0.00999004  -9.99999046 9999.96191406   9.99000072
172  -9.99999046  -0.00999004   -9.99001026   9.99000072
173  -0.00999004  -9.99999046 9999.96191406   9.99000072
174  -9.99999046  -0.00999004   -9.99001026   9.99000072
175  -0.00999004  -9.99999046 9999.96191406   9.99000072
176  -9.99999046  -0.00999004   -9.99001026   9.99000072
177  -0.00999004  -9.99999046 9999.96191406   9.99000072
178  -9.99999046  -0.00999004   -9.99001026   9.99000072
179  -0.00999004  -9.99999046 9999.96191406   9.99000072
180  -9.99999046  -0.00999004   -9.99001026   9.99000072
181  -0.00999004  -9.99999046 9999.96191406   9.99000072
182  -9.99999046  -0.00999004   -9.99001026   9.99000072
183  -0.00999004  -9.99999046 9999.96191406   9.99000072
184  -9.99999046  -0.00999004   -9.99001026   9.99000072
185  -0.00999004  -9.99999046 9999.96191406   9.99000072
186  -9.99999046  -0.00999004   -9.99001026   9.99000072
187  -0.00999004  -9.99999046 9999.96191406   9.99000072
188  -9.99999046  -0.00999004   -9.99001026   9.99000072
189  -0.00999004  -9.99999046 9999.96191406   9.99000072
190  -9.99999046  -0.00999004   -9.99001026   9.99000072
191  -0.00999004  -9.99999046 9999.96191406   9.99000072
192  -9.99999046  -0.00999004   -9.99001026   9.99000072
193  -0.00999004  -9.99999046 9999.96191406   9.99000072
194  -9.99999046  -0.00999004   -9.99001026   9.99000072
195  -0.00999004  -9.99999046 9999.96191406   9.99000072
196  -9.99999046  -0.00999004   -9.99001026   9.99000072
197  -0.00999004  -9.99999046 9999.96191406   9.99000072
198  -9.99999046  -0.00999004   -9.99001026   9.99000072
199  -0.00999004  -9.99999046 9999.96191406   9.99000072
